domain,site,plot,measurementLevel,sensorDepths,CVALA1,CVALA2,CVALA3,CVALR1,CVALR2,U_CVALA1,U_CVALA2,U_CVALA3,CVALO1,CVALS1,CVALS2,remarks,CVALC1
1,BART,4,3,-0.257,0.053834398329624,0.709710459953955,0.00196986227672,0.612015127731322,0.000684968243039,0.045721882720386,4.03666495933819E-05,0.045721882720386,n,20100101125959,NA,NA,20191023.144626
1,BART,4,4,-0.557,0.070515149665997,0.647806453952262,-0.005264575841976,0.604495537912215,0.000942062801039,0.038456857515987,3.92374966577496E-05,0.038456857515987,n,20100101125959,NA,NA,20191023.144626
1,BART,4,5,-0.957,0.054133350706187,0.711388508100767,0.001243972313311,0.602019506740672,0.000772446123504,0.031444377371851,3.57355353531066E-05,0.031444377371851,n,20100101125959,NA,NA,20191023.144626
1,BART,4,6,-1.157,0.054133350706187,0.711388508100767,0.001243972313311,0.602019506740672,0.000772446123504,0.031444377371851,3.57355353531066E-05,0.031444377371851,n,20100101125959,NA,NA,20191023.144626
1,BART,4,7,-1.657,0.081492560937925,0.614294977101313,-0.008852263973915,0.600900783492189,0.000922712693509,0.023534320012315,3.21675662590129E-05,0.023534320012315,n,20100101125959,NA,NA,20191023.144626
1,BART,4,8,-1.957,0.081492560937925,0.614294977101313,-0.008852263973915,0.600900783492189,0.000922712693509,0.023534320012315,3.21675662590129E-05,0.023534320012315,n,20100101125959,NA,NA,20191023.144626
1,BART,5,1,-0.06,0.058569688494946,0.689481829797861,-0.003190950380467,0.615644842000249,0.001150902663482,0.056258805246584,4.12887449303513E-05,0.056258805246584,n,20100101125959,NA,NA,20191023.144626
1,BART,5,2,-0.16,0.034625644569938,0.814623276889394,0.009280173383152,0.613773400618838,8.61059710338541E-05,0.049827003462239,3.83363078965845E-05,0.049827003462239,n,20100101125959,NA,NA,20191023.144626
1,BART,5,3,-0.26,0.053834398329624,0.709710459953955,0.00196986227672,0.612015127731322,0.000684968243039,0.045721882720386,4.03666495933819E-05,0.045721882720386,n,20100101125959,NA,NA,20191023.144626
1,BART,5,4,-0.56,0.070515149665997,0.647806453952262,-0.005264575841976,0.604495537912215,0.000942062801039,0.038456857515987,3.92374966577496E-05,0.038456857515987,n,20100101125959,NA,NA,20191023.144626
1,BART,5,5,-0.96,0.054133350706187,0.711388508100767,0.001243972313311,0.602019506740672,0.000772446123504,0.031444377371851,3.57355353531066E-05,0.031444377371851,n,20100101125959,NA,NA,20191023.144626
1,BART,5,6,-1.16,0.054133350706187,0.711388508100767,0.001243972313311,0.602019506740672,0.000772446123504,0.031444377371851,3.57355353531066E-05,0.031444377371851,n,20100101125959,NA,NA,20191023.144626
1,BART,5,7,-1.66,0.081492560937925,0.614294977101313,-0.008852263973915,0.600900783492189,0.000922712693509,0.023534320012315,3.21675662590129E-05,0.023534320012315,n,20100101125959,NA,NA,20191023.144626
1,BART,5,8,-1.86,0.081492560937925,0.614294977101313,-0.008852263973915,0.600900783492189,0.000922712693509,0.023534320012315,3.21675662590129E-05,0.023534320012315,n,20191015000000,NA,NA,20191023.144626
1,BART,5,8,-1.96,0.081492560937925,0.614294977101313,-0.008852263973915,0.600900783492189,0.000922712693509,0.023534320012315,3.21675662590129E-05,0.023534320012315,n,20100101125959,20191015000000,NA,20191023.144626
1,HARV,1,1,-0.06,4.225082120926E-05,2.45691588073904,0.012306267157996,0.60001073917225,0.149639789085742,0.032840125362805,6.72423782324834E-05,0.032840125362805,n,20100101125959,NA,NA,20191023.144626
1,HARV,1,2,-0.16,4.225082120926E-05,2.45691588073904,0.012306267157996,0.60001073917225,0.149639789085742,0.032840125362805,6.72423782324834E-05,0.032840125362805,n,20100101125959,NA,NA,20191023.144626
1,HARV,1,3,-0.26,0.04264791400752,0.76708184443792,0.006785209549884,0.6057144681989,0.000343828966204,0.04358622546315,3.70038750860693E-05,0.04358622546315,n,20100101125959,NA,NA,20191023.144626
1,HARV,1,4,-0.46,0.04264791400752,0.76708184443792,0.006785209549884,0.6057144681989,0.000343828966204,0.04358622546315,3.70038750860693E-05,0.04358622546315,n,20100101125959,NA,NA,20191023.144626
1,HARV,1,5,NA,0.1957,0.404,0.02852,NA,NA,0.1068177,4.51E-05,0.1068177,n,20100101125959,NA,NA,20180307125959
1,HARV,1,6,NA,0.1957,0.404,0.02852,NA,NA,0.1068177,4.51E-05,0.1068177,n,20100101125959,NA,NA,20180307125959
1,HARV,1,7,NA,0.1957,0.404,0.02852,NA,NA,0.1068177,4.51E-05,0.1068177,n,20100101125959,NA,NA,20180307125959
1,HARV,1,8,NA,0.1957,0.404,0.02852,NA,NA,0.1068177,4.51E-05,0.1068177,n,20100101125959,NA,NA,20180307125959
